"","Temp.Cat","Light_Dark","Run","blank.rate"
"193",16,"Dark",1,-0.000363647179487197
"194",20,"Dark",1,-0.000785602966258778
"195",22,"Dark",1,-0.000634999134199016
"196",24,"Dark",1,-0.000748915918367326
"197",26,"Dark",1,-0.00102178413061429
"198",28,"Dark",1,-0.00108620606060602
"199",30,"Dark",1,-0.000795103640175352
"200",32,"Dark",1,-0.00121344854819975
"201",34,"Dark",1,-0.00157365887445884
"202",36,"Dark",1,-0.00224495906432762
"203",39,"Dark",1,-0.000634786122090481
"204",42,"Dark",1,-0.001484600231582
"205",16,"Dark",2,-1.41484511981636e-05
"206",20,"Dark",2,-0.000288792277614755
"207",22,"Dark",2,-0.000519273846153791
"208",24,"Dark",2,-0.000655282197176904
"209",26,"Dark",2,-0.000578934738691314
"210",28,"Dark",2,-0.000824057585825002
"211",30,"Dark",2,-0.00197142639455778
"212",32,"Dark",2,-0.000871106037115333
"213",34,"Dark",2,-0.00342979047619043
"214",36,"Dark",2,-0.00240824193548385
"215",39,"Dark",2,-0.00559895697865352
"216",42,"Dark",2,0.00209297025641021
"217",16,"Light",3,0.000178751501668548
"218",20,"Light",3,-0.000589225823451943
"219",22,"Light",3,-0.00155145040650393
"220",24,"Light",3,-0.00240184242424245
"221",26,"Light",3,-0.00312132320280542
"222",28,"Light",3,-0.00382946872378457
"223",30,"Light",3,-0.00536261677646029
"224",32,"Light",3,-0.0043451632605121
"225",34,"Light",3,-0.0033828674944902
"226",36,"Light",3,-0.0057158826766729
"227",39,"Light",3,-0.00775090101010098
"228",42,"Light",3,-0.00521881299753945
"229",16,"Dark",4,-0.0017543869167869
"230",20,"Dark",4,-0.0004663965464077
"231",22,"Dark",4,-0.000980148016314507
"232",24,"Dark",4,-0.00141856653061227
"233",26,"Dark",4,-0.00175665816135087
"234",28,"Dark",4,-0.00228402367864692
"235",30,"Dark",4,-0.00455796156918018
"236",32,"Dark",4,-0.00514572753623196
"237",34,"Dark",4,-0.00526557801618662
"238",36,"Dark",4,-0.00430143589743606
"239",39,"Dark",4,-0.00672028398268396
"240",42,"Dark",4,-0.0118965507246377
"241",16,"Light",5,-0.000849380115063652
"242",20,"Light",5,-0.0011431959921797
"243",22,"Light",5,-0.00134358116425661
"244",24,"Light",5,-0.00187759767711965
"245",26,"Light",5,-0.00141543926218706
"246",28,"Light",5,-0.00315791999999997
"247",30,"Light",5,-0.00154770668397145
"248",32,"Light",5,-0.00319452897959183
"249",34,"Light",5,-0.00429307906128965
"250",36,"Light",5,-0.00470283978494624
"251",39,"Light",5,-0.00679752727272712
"252",42,"Light",5,-0.00834810389610391
"253",16,"Dark",6,-0.000406921505376438
"254",20,"Dark",6,-0.000573475788061699
"255",22,"Dark",6,-0.000677051629072642
"256",24,"Dark",6,-0.00114531360112757
"257",26,"Dark",6,-0.00165410592334499
"258",28,"Dark",6,-0.0014370498854222
"259",30,"Dark",6,-0.00205368259109306
"260",32,"Dark",6,-0.00311919054373525
"261",34,"Dark",6,-0.00440629249011866
"262",36,"Dark",6,-0.00442430978346766
"263",39,"Dark",6,-0.00580222727272737
"264",42,"Dark",6,-0.00306723174603175
"265",16,"Light",7,0.000107997448165836
"266",20,"Light",7,8.24819637450653e-05
"267",22,"Light",7,-0.00123151869918704
"268",24,"Light",7,-0.0028260800000001
"269",26,"Light",7,-0.00351515772357725
"270",28,"Light",7,-0.00442657796570357
"271",30,"Light",7,-0.00502581133595086
"272",32,"Light",7,-0.00693655555555539
"273",34,"Light",7,-0.00538049641025644
"274",36,"Light",7,-0.00841533596837948
"275",39,"Light",7,-0.00442544743027763
"276",42,"Light",7,-0.00684066031746027
"277",16,"Dark",8,0.00017968662760821
"278",20,"Dark",8,2.79092318534105e-05
"279",22,"Dark",8,-0.000324917701101067
"280",24,"Dark",8,-0.000775672821235641
"281",26,"Dark",8,-0.00171742311402666
"282",28,"Dark",8,-0.00188512670419021
"283",30,"Dark",8,-0.00417473311184937
"284",32,"Dark",8,-0.00400200317292434
"285",34,"Dark",8,-0.00669744958371876
"286",36,"Dark",8,-0.00999704615384638
"287",39,"Dark",8,-0.0102571616562677
"288",42,"Dark",8,-0.00898485828642903
"289",16,"Dark",9,-1.2261248185772e-05
"290",20,"Dark",9,-0.000678262062485329
"291",22,"Dark",9,-0.000975406855198128
"292",24,"Dark",9,-0.00105462974611985
"293",26,"Dark",9,-0.00161253225806459
"294",28,"Dark",9,-0.00190841904761897
"295",30,"Dark",9,-0.00217625213199848
"296",32,"Dark",9,-0.00327471515151494
"297",34,"Dark",9,-0.00427077777777772
"298",36,"Dark",9,-0.00330435772357719
"299",39,"Dark",9,-0.00709775757575765
"300",42,"Dark",9,-0.00729317894736833
"301",16,"Dark",10,-0.00032720238462335
"302",20,"Dark",10,-0.000877434145338665
"303",22,"Dark",10,-0.00143799070847849
"304",24,"Dark",10,-0.00238855048827144
"305",26,"Dark",10,-0.00150415523085922
"306",28,"Dark",10,-0.00261058176870743
"307",30,"Dark",10,-0.00227119361052383
"308",32,"Dark",10,-0.00390103188405808
"309",34,"Dark",10,-0.00474663549783555
"310",36,"Dark",10,-0.00549828938767792
"311",39,"Dark",10,-0.00354666007224232
"312",42,"Dark",10,-0.00654519882235368
"313",16,"Light",11,-0.000714117861703977
"314",20,"Light",11,-0.000737288043222895
"315",22,"Light",11,-0.000999783485941077
"316",24,"Light",11,-0.0013742016996754
"317",26,"Light",11,-0.00212917357843678
"318",28,"Light",11,-0.00282728749100625
"319",30,"Light",11,-0.00295681440491878
"320",32,"Light",11,-0.0034282528943924
"321",34,"Light",11,-0.00404454143775573
"322",36,"Light",11,-0.00587496140350864
"323",39,"Light",11,-0.00509882148040643
"324",42,"Light",11,-0.00651029874077292
"325",16,"Light",12,0.000145884519614719
"326",20,"Light",12,1.00571428571073e-05
"327",22,"Light",12,-9.64375234521879e-05
"328",24,"Light",12,-0.000459802177025172
"329",26,"Light",12,-0.000909137460913079
"330",28,"Light",12,-0.00134713373860182
"331",30,"Light",12,-0.00119726330378964
"332",32,"Light",12,-0.00282746712250716
"333",34,"Light",12,-0.00394944765478422
"334",36,"Light",12,-0.00177156702946178
"335",39,"Light",12,-0.00065900350877186
"336",42,"Light",12,-0.00519329367521365
"337",16,"Light",13,-0.000526893844781438
"338",20,"Light",13,-0.00179838128654957
"339",22,"Light",13,-0.00207352421222189
"340",24,"Light",13,-0.00261120332355805
"341",26,"Light",13,-0.00347066666666675
"342",28,"Light",13,-0.00402358606271782
"343",30,"Light",13,-0.00474497250768559
"344",32,"Light",13,-0.00562165146198814
"345",34,"Light",13,-0.00530967851335658
"346",36,"Light",13,-0.0055240368906455
"347",39,"Light",13,-0.00612831679198001
"348",42,"Light",13,-0.0061640790513834
"349",16,"Light",14,-0.00210476625850345
"350",20,"Light",14,-0.00282281959444067
"351",22,"Light",14,-0.00390225482625484
"352",24,"Light",14,-0.00562643227016882
"353",26,"Light",14,-0.00217491071332577
"354",28,"Light",14,-0.00664228630963727
"355",30,"Light",14,-0.00635562471223862
"356",32,"Light",14,-0.00588181522413105
"357",34,"Light",14,-0.00426282783882769
"358",36,"Light",14,-0.00390973937282232
"359",39,"Light",14,-0.00331043551797041
"360",42,"Light",14,-0.00593667451927913
"361",16,"Light",15,-0.000566214163614172
"362",20,"Light",15,-0.00141560645161291
"363",22,"Light",15,-0.0015085960328979
"364",24,"Light",15,-0.00211942857142862
"365",26,"Light",15,-0.00245340988012687
"366",28,"Light",15,-0.00294053333333335
"367",30,"Light",15,-0.00234849523809516
"368",32,"Light",15,-0.00410337230769229
"369",34,"Light",15,-0.006078961038961
"370",36,"Light",15,-0.00473766666666676
"371",39,"Light",15,-0.00681933799533832
"372",42,"Light",15,-0.00442366082630326
"373",16,"Dark",16,-0.000190272955115121
"374",20,"Dark",16,-0.000315029959514152
"375",22,"Dark",16,-0.000930186328400272
"376",24,"Dark",16,-0.00173653743589741
"377",26,"Dark",16,-0.00401100487804876
"378",28,"Dark",16,-0.00472042677942209
"379",30,"Dark",16,-0.00231021920706129
"380",32,"Dark",16,-0.00217156124545593
"381",34,"Dark",16,-0.00336957011980271
"382",36,"Dark",16,-0.0019253888947647
"383",39,"Dark",16,-0.00445365401028559
"384",42,"Dark",16,-0.00486974217288519
